2025-04-16 12:27:47 - INFO - [info] - Logger created
2025-04-16 12:27:47 - INFO - [info] - Connecting to vehicle...
2025-04-16 12:28:01 - INFO - [info] - Connected to vehicle
2025-04-16 12:28:01 - INFO - [info] - Sufficient number of satellites - Counted: 4, Required: 3
2025-04-16 12:28:01 - INFO - [info] - Sufficient battery level - Measured: 100, Required: 25
2025-04-16 12:28:01 - INFO - [info] - Vehicle health validated
2025-04-16 12:28:01 - INFO - [info] - Current waypoint: 5, 5
2025-04-16 12:28:01 - INFO - [info] - Pixhawk connected, running main
2025-04-16 12:28:01 - INFO - [info] - Waiting to switch to guided mode
2025-04-16 12:32:01 - INFO - [info] - Switched to guided mode
2025-04-16 12:32:03 - INFO - [info] - Mission: [[5, 5]]
2025-04-16 12:32:03 - INFO - [info] - Beginning mission
2025-04-16 12:32:03 - INFO - [info] - Current position: 4.165376663208008, 1.2599263191223145
2025-04-16 12:32:03 - INFO - [info] - Yaw command - Current yaw: 235, Final yaw: 469.7804405151682
2025-04-16 12:32:03 - INFO - [info] - Command sent
2025-04-16 12:32:27 - INFO - [info] - Adjusting velocity - Velocity X: 1, Velocity Y: 0, Altitude: 0
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.063899040222168, 0.11034296452999115
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.092007160186768, 0.05275088548660278
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.092007160186768, 0.05275088548660278
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.092007160186768, 0.05275088548660278
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.130335807800293, 0.02969733253121376
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.130335807800293, 0.02969733253121376
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.1675944328308105, 0.08547167479991913
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.1675944328308105, 0.08547167479991913
2025-04-16 12:32:41 - INFO - [info] - Current position: 7.1675944328308105, 0.08547167479991913
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.213823318481445, 0.20077721774578094
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.213823318481445, 0.20077721774578094
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.262385368347168, 0.32164129614830017
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.262385368347168, 0.32164129614830017
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.262385368347168, 0.32164129614830017
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.310672760009766, 0.41828304529190063
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.310672760009766, 0.41828304529190063
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.364630699157715, 0.5179373621940613
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.364630699157715, 0.5179373621940613
2025-04-16 12:32:42 - INFO - [info] - Current position: 7.404650688171387, 0.6726343631744385
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.404650688171387, 0.6726343631744385
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.404650688171387, 0.6726343631744385
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.403510093688965, 0.8188164234161377
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.403510093688965, 0.8188164234161377
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.383754253387451, 0.9170231223106384
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.383754253387451, 0.9170231223106384
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.383754253387451, 0.9170231223106384
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.383134841918945, 0.9491009712219238
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.383134841918945, 0.9491009712219238
2025-04-16 12:32:43 - INFO - [info] - Current position: 7.400394916534424, 0.9423531293869019
